"ID","Tagged objects"
"forge:glass","create:tiled_glass, create:framed_glass, create:horizontal_framed_glass, create:vertical_framed_glass, minecraft:glass, minecraft:white_stained_glass, minecraft:orange_stained_glass, minecraft:magenta_stained_glass, minecraft:light_blue_stained_glass, minecraft:yellow_stained_glass, minecraft:lime_stained_glass, minecraft:pink_stained_glass, minecraft:gray_stained_glass, minecraft:light_gray_stained_glass, minecraft:cyan_stained_glass, minecraft:purple_stained_glass, minecraft:blue_stained_glass, minecraft:brown_stained_glass, minecraft:green_stained_glass, minecraft:red_stained_glass, minecraft:black_stained_glass, quark:dirty_glass, quark:framed_glass"
"forge:glass/black","minecraft:black_stained_glass"
"forge:glass/blue","minecraft:blue_stained_glass"
"forge:glass/brown","minecraft:brown_stained_glass"
"forge:glass/colorless","create:tiled_glass, create:framed_glass, create:horizontal_framed_glass, create:vertical_framed_glass, minecraft:glass"
"forge:glass/cyan","minecraft:cyan_stained_glass"
"forge:glass/gray","minecraft:gray_stained_glass"
"forge:glass/green","minecraft:green_stained_glass"
"forge:glass/light_blue","minecraft:light_blue_stained_glass"
"forge:glass/light_gray","minecraft:light_gray_stained_glass"
"forge:glass/lime","minecraft:lime_stained_glass"
"forge:glass/magenta","minecraft:magenta_stained_glass"
"forge:glass/orange","minecraft:orange_stained_glass"
"forge:glass/pink","minecraft:pink_stained_glass"
"forge:glass/purple","minecraft:purple_stained_glass"
"forge:glass/red","minecraft:red_stained_glass"
"forge:glass/white","minecraft:white_stained_glass"
"forge:glass/yellow","minecraft:yellow_stained_glass"
"forge:glass_panes","create:tiled_glass_pane, create:framed_glass_pane, create:horizontal_framed_glass_pane, create:vertical_framed_glass_pane, create:oak_window_pane, create:spruce_window_pane, create:birch_window_pane, create:jungle_window_pane, create:acacia_window_pane, create:dark_oak_window_pane, create:crimson_window_pane, create:warped_window_pane, create:ornate_iron_window_pane, minecraft:glass_pane, minecraft:white_stained_glass_pane, minecraft:orange_stained_glass_pane, minecraft:magenta_stained_glass_pane, minecraft:light_blue_stained_glass_pane, minecraft:yellow_stained_glass_pane, minecraft:lime_stained_glass_pane, minecraft:pink_stained_glass_pane, minecraft:gray_stained_glass_pane, minecraft:light_gray_stained_glass_pane, minecraft:cyan_stained_glass_pane, minecraft:purple_stained_glass_pane, minecraft:blue_stained_glass_pane, minecraft:brown_stained_glass_pane, minecraft:green_stained_glass_pane, minecraft:red_stained_glass_pane, minecraft:black_stained_glass_pane, quark:dirty_glass_pane, quark:framed_glass_pane"
"forge:glass_panes/black","minecraft:black_stained_glass_pane"
"forge:glass_panes/blue","minecraft:blue_stained_glass_pane"
"forge:glass_panes/brown","minecraft:brown_stained_glass_pane"
"forge:glass_panes/colorless","minecraft:glass_pane"
"forge:glass_panes/cyan","minecraft:cyan_stained_glass_pane"
"forge:glass_panes/gray","minecraft:gray_stained_glass_pane"
"forge:glass_panes/green","minecraft:green_stained_glass_pane"
"forge:glass_panes/light_blue","minecraft:light_blue_stained_glass_pane"
"forge:glass_panes/light_gray","minecraft:light_gray_stained_glass_pane"
"forge:glass_panes/lime","minecraft:lime_stained_glass_pane"
"forge:glass_panes/magenta","minecraft:magenta_stained_glass_pane"
"forge:glass_panes/orange","minecraft:orange_stained_glass_pane"
"forge:glass_panes/pink","minecraft:pink_stained_glass_pane"
"forge:glass_panes/purple","minecraft:purple_stained_glass_pane"
"forge:glass_panes/red","minecraft:red_stained_glass_pane"
"forge:glass_panes/white","minecraft:white_stained_glass_pane"
"forge:glass_panes/yellow","minecraft:yellow_stained_glass_pane"
"forge:grain","minecraft:wheat, farmersdelight:rice"
"forge:grain/rice","farmersdelight:rice"
"forge:grain/wheat","minecraft:wheat"
"forge:gravel","minecraft:gravel"
"forge:gunpowder","minecraft:gunpowder"
"forge:heads","minecraft:creeper_head, minecraft:dragon_head, minecraft:player_head, minecraft:skeleton_skull, minecraft:wither_skeleton_skull, minecraft:zombie_head"
"forge:ingots","create:copper_ingot, create:zinc_ingot, create:brass_ingot, minecraft:iron_ingot, minecraft:gold_ingot, minecraft:brick, minecraft:nether_brick, minecraft:netherite_ingot, immersiveengineering:ingot_copper, immersiveengineering:ingot_aluminum, immersiveengineering:ingot_lead, immersiveengineering:ingot_silver, immersiveengineering:ingot_nickel, immersiveengineering:ingot_uranium, immersiveengineering:ingot_constantan, immersiveengineering:ingot_electrum, immersiveengineering:ingot_steel"
"forge:ingots/aluminum","immersiveengineering:ingot_aluminum"
"forge:ingots/brass","create:brass_ingot"
"forge:ingots/brick","minecraft:brick"
"forge:ingots/constantan","immersiveengineering:ingot_constantan"
"forge:ingots/copper","create:copper_ingot, immersiveengineering:ingot_copper"
"forge:ingots/electrum","immersiveengineering:ingot_electrum"
"forge:ingots/gold","minecraft:gold_ingot"
"forge:ingots/hop_graphite","immersiveengineering:ingot_hop_graphite"
"forge:ingots/iron","minecraft:iron_ingot"
"forge:ingots/lead","immersiveengineering:ingot_lead"
"forge:ingots/nether_brick","minecraft:nether_brick"
"forge:ingots/netherite","minecraft:netherite_ingot"
"forge:ingots/nickel","immersiveengineering:ingot_nickel"
"forge:ingots/silver","immersiveengineering:ingot_silver"
"forge:ingots/steel","immersiveengineering:ingot_steel"
"forge:ingots/uranium","immersiveengineering:ingot_uranium"
"forge:ingots/zinc","create:zinc_ingot"
"forge:leather","minecraft:leather"
"forge:lingering_bottles","inspirations:lingering_bottle"
"forge:milk","minecraft:milk_bucket, farmersdelight:milk_bottle"
"forge:milk/milk","minecraft:milk_bucket"
"forge:milk/milk_bottle","farmersdelight:milk_bottle"
"forge:mushroom_caps","quark:glowshroom_block"
"forge:mushroom_caps/glowshroom","quark:glowshroom_block"
"forge:mushroom_stems","quark:glowshroom_stem"
"forge:mushroom_stems/glowshroom","quark:glowshroom_stem"
"forge:mushrooms","minecraft:brown_mushroom, minecraft:red_mushroom, quark:glowshroom"
"forge:mushrooms/edible","quark:glowshroom"
"forge:mushrooms/glowshroom","quark:glowshroom"
"forge:nether_stars","minecraft:nether_star"
"forge:netherrack","minecraft:netherrack"
"forge:nuggets","create:copper_nugget, create:zinc_nugget, create:brass_nugget, minecraft:iron_nugget, minecraft:gold_nugget, immersiveengineering:nugget_copper, immersiveengineering:nugget_aluminum, immersiveengineering:nugget_lead, immersiveengineering:nugget_silver, immersiveengineering:nugget_nickel, immersiveengineering:nugget_uranium, immersiveengineering:nugget_constantan, immersiveengineering:nugget_electrum, immersiveengineering:nugget_steel"
"forge:nuggets/aluminum","immersiveengineering:nugget_aluminum"
"forge:nuggets/brass","create:brass_nugget"
"forge:nuggets/constantan","immersiveengineering:nugget_constantan"
"forge:nuggets/copper","create:copper_nugget, immersiveengineering:nugget_copper"
"forge:nuggets/electrum","immersiveengineering:nugget_electrum"
"forge:nuggets/gold","minecraft:gold_nugget"
"forge:nuggets/iron","minecraft:iron_nugget"
"forge:nuggets/lead","immersiveengineering:nugget_lead"
"forge:nuggets/nickel","immersiveengineering:nugget_nickel"
"forge:nuggets/silver","immersiveengineering:nugget_silver"
"forge:nuggets/steel","immersiveengineering:nugget_steel"
"forge:nuggets/uranium","immersiveengineering:nugget_uranium"
"forge:nuggets/zinc","create:zinc_nugget"
"forge:obsidian","minecraft:obsidian"
"forge:ores","create:copper_ore, create:zinc_ore, minecraft:coal_ore, minecraft:diamond_ore, minecraft:emerald_ore, minecraft:gold_ore, minecraft:nether_gold_ore, minecraft:iron_ore, minecraft:lapis_ore, minecraft:redstone_ore, minecraft:nether_quartz_ore, minecraft:ancient_debris, immersiveengineering:ore_copper, immersiveengineering:ore_aluminum, immersiveengineering:ore_lead, immersiveengineering:ore_silver, immersiveengineering:ore_nickel, immersiveengineering:ore_uranium, quark:biotite_ore"
"forge:ores/aluminum","immersiveengineering:ore_aluminum"
"forge:ores/biotite","quark:biotite_ore"
"forge:ores/coal","minecraft:coal_ore"
"forge:ores/copper","create:copper_ore, immersiveengineering:ore_copper"
"forge:ores/diamond","minecraft:diamond_ore"
"forge:ores/emerald","minecraft:emerald_ore"
"forge:ores/gold","minecraft:gold_ore, minecraft:nether_gold_ore"
"forge:ores/iron","minecraft:iron_ore"
"forge:ores/lapis","minecraft:lapis_ore"
"forge:ores/lead","immersiveengineering:ore_lead"
"forge:ores/netherite_scrap","minecraft:ancient_debris"
"forge:ores/nickel","immersiveengineering:ore_nickel"
"forge:ores/quartz","minecraft:nether_quartz_ore"
"forge:ores/redstone","minecraft:redstone_ore"
"forge:ores/silver","immersiveengineering:ore_silver"
"forge:ores/uranium","immersiveengineering:ore_uranium"
"forge:ores/zinc","create:zinc_ore"
"forge:pasta","farmersdelight:raw_pasta"
"forge:pasta/raw_pasta","farmersdelight:raw_pasta"
"forge:plates","create:copper_sheet, create:brass_sheet, create:iron_sheet, create:golden_sheet, create:lapis_sheet, immersiveengineering:plate_copper, immersiveengineering:plate_aluminum, immersiveengineering:plate_lead, immersiveengineering:plate_silver, immersiveengineering:plate_nickel, immersiveengineering:plate_uranium, immersiveengineering:plate_constantan, immersiveengineering:plate_electrum, immersiveengineering:plate_steel, immersiveengineering:plate_iron, immersiveengineering:plate_gold"
"forge:plates/aluminum","immersiveengineering:plate_aluminum"
"forge:plates/brass","create:brass_sheet"
"forge:plates/constantan","immersiveengineering:plate_constantan"
"forge:plates/copper","create:copper_sheet, immersiveengineering:plate_copper"
"forge:plates/electrum","immersiveengineering:plate_electrum"
"forge:plates/gold","create:golden_sheet, immersiveengineering:plate_gold"
"forge:plates/iron","create:iron_sheet, immersiveengineering:plate_iron"
"forge:plates/lapis_lazuli","create:lapis_sheet"
"forge:plates/lead","immersiveengineering:plate_lead"
"forge:plates/nickel","immersiveengineering:plate_nickel"
"forge:plates/silver","immersiveengineering:plate_silver"
"forge:plates/steel","immersiveengineering:plate_steel"
"forge:plates/uranium","immersiveengineering:plate_uranium"
"forge:pumpkins","minecraft:pumpkin, autumnity:large_pumpkin_slice"
"forge:rails","transport:iron_rail, transport:gold_rail"
"forge:rails/gold","transport:gold_rail"
"forge:rails/iron","transport:iron_rail"
"forge:raw_beef","minecraft:beef, farmersdelight:minced_beef"
"forge:raw_chicken","minecraft:chicken, farmersdelight:chicken_cuts"
"forge:raw_fishes","minecraft:cod, farmersdelight:cod_slice, minecraft:salmon, farmersdelight:salmon_slice, minecraft:tropical_fish"
"forge:raw_fishes/cod","minecraft:cod, farmersdelight:cod_slice"
"forge:raw_fishes/salmon","minecraft:salmon, farmersdelight:salmon_slice"
"forge:raw_fishes/tropical_fish","minecraft:tropical_fish"
"forge:rods","minecraft:blaze_rod, minecraft:stick, immersiveengineering:stick_treated"
"forge:rods/all_metal","immersiveposts:stick_gold, immersiveposts:stick_copper, immersiveposts:stick_lead, immersiveposts:stick_silver, immersiveposts:stick_nickel, immersiveposts:stick_constantan, immersiveposts:stick_electrum, immersiveposts:stick_uranium, immersiveengineering:stick_aluminum, immersiveengineering:stick_iron, buildersaddition:iron_rod, immersiveengineering:stick_steel"
"forge:rods/aluminum","immersiveengineering:stick_aluminum"
"forge:rods/blaze","minecraft:blaze_rod"
"forge:rods/constantan","immersiveposts:stick_constantan"
"forge:rods/copper","immersiveposts:stick_copper"
"forge:rods/electrum","immersiveposts:stick_electrum"
"forge:rods/gold","immersiveposts:stick_gold"
"forge:rods/iron","immersiveengineering:stick_iron, buildersaddition:iron_rod"
"forge:rods/lead","immersiveposts:stick_lead"
"forge:rods/nickel","immersiveposts:stick_nickel"
"forge:rods/silver","immersiveposts:stick_silver"
"forge:rods/steel","immersiveengineering:stick_steel"
"forge:rods/treated_wood","immersiveengineering:stick_treated"
"forge:rods/uranium","immersiveposts:stick_uranium"
"forge:rods/wooden","minecraft:stick, immersiveengineering:stick_treated"
"forge:salad_ingredients","farmersdelight:cabbage, farmersdelight:cabbage_leaf"
"forge:salad_ingredients/cabbage","farmersdelight:cabbage, farmersdelight:cabbage_leaf"
"forge:sand","minecraft:sand, atmospheric:arid_sand, minecraft:red_sand, atmospheric:red_arid_sand"
"forge:sand/colorless","minecraft:sand, atmospheric:arid_sand"
"forge:sand/red","minecraft:red_sand, atmospheric:red_arid_sand"
"forge:sandstone","minecraft:sandstone, minecraft:cut_sandstone, minecraft:chiseled_sandstone, minecraft:smooth_sandstone, minecraft:red_sandstone, minecraft:cut_red_sandstone, minecraft:chiseled_red_sandstone, minecraft:smooth_red_sandstone, atmospheric:arid_sandstone, atmospheric:cut_arid_sandstone, atmospheric:chiseled_arid_sandstone, atmospheric:smooth_arid_sandstone, atmospheric:red_arid_sandstone, atmospheric:cut_red_arid_sandstone, atmospheric:chiseled_red_arid_sandstone, atmospheric:smooth_red_arid_sandstone"
"forge:sandstone/colorless","minecraft:sandstone, minecraft:cut_sandstone, minecraft:chiseled_sandstone, minecraft:smooth_sandstone"
"forge:sandstone/red","minecraft:red_sandstone, minecraft:cut_red_sandstone, minecraft:chiseled_red_sandstone, minecraft:smooth_red_sandstone"
"forge:sawblades","immersiveengineering:sawblade"
"forge:seeds","minecraft:beetroot_seeds, minecraft:melon_seeds, minecraft:pumpkin_seeds, minecraft:wheat_seeds, farmersdelight:cabbage_seeds, farmersdelight:rice, farmersdelight:tomato_seeds, immersiveengineering:seed"
"forge:seeds/beetroot","minecraft:beetroot_seeds"
"forge:seeds/cabbage","farmersdelight:cabbage_seeds"
"forge:seeds/melon","minecraft:melon_seeds"
"forge:seeds/pumpkin","minecraft:pumpkin_seeds"
"forge:seeds/rice","farmersdelight:rice"
"forge:seeds/tomato","farmersdelight:tomato_seeds"
"forge:seeds/wheat","minecraft:wheat_seeds"
"forge:shears","minecraft:shears"
"forge:sheetmetals","immersiveengineering:sheetmetal_copper, immersiveengineering:sheetmetal_aluminum, immersiveengineering:sheetmetal_lead, immersiveengineering:sheetmetal_silver, immersiveengineering:sheetmetal_nickel, immersiveengineering:sheetmetal_uranium, immersiveengineering:sheetmetal_constantan, immersiveengineering:sheetmetal_electrum, immersiveengineering:sheetmetal_steel, immersiveengineering:sheetmetal_iron, immersiveengineering:sheetmetal_gold, immersiveengineering:sheetmetal_colored_white, immersiveengineering:sheetmetal_colored_orange, immersiveengineering:sheetmetal_colored_magenta, immersiveengineering:sheetmetal_colored_light_blue, immersiveengineering:sheetmetal_colored_yellow, immersiveengineering:sheetmetal_colored_lime, immersiveengineering:sheetmetal_colored_pink, immersiveengineering:sheetmetal_colored_gray, immersiveengineering:sheetmetal_colored_light_gray, immersiveengineering:sheetmetal_colored_cyan, immersiveengineering:sheetmetal_colored_purple, immersiveengineering:sheetmetal_colored_blue, immersiveengineering:sheetmetal_colored_brown, immersiveengineering:sheetmetal_colored_green, immersiveengineering:sheetmetal_colored_red, immersiveengineering:sheetmetal_colored_black"
"forge:sheetmetals/aluminum","immersiveengineering:sheetmetal_aluminum"
"forge:sheetmetals/constantan","immersiveengineering:sheetmetal_constantan"
"forge:sheetmetals/copper","immersiveengineering:sheetmetal_copper"
"forge:sheetmetals/electrum","immersiveengineering:sheetmetal_electrum"
"forge:sheetmetals/gold","immersiveengineering:sheetmetal_gold"
"forge:sheetmetals/iron","immersiveengineering:sheetmetal_iron"
"forge:sheetmetals/lead","immersiveengineering:sheetmetal_lead"
"forge:sheetmetals/nickel","immersiveengineering:sheetmetal_nickel"
"forge:sheetmetals/silver","immersiveengineering:sheetmetal_silver"
"forge:sheetmetals/steel","immersiveengineering:sheetmetal_steel"
"forge:sheetmetals/uranium","immersiveengineering:sheetmetal_uranium"
"forge:slag","immersiveengineering:slag"
"forge:slimeballs","minecraft:slime_ball"
"forge:splash_bottles","inspirations:splash_bottle"
"forge:stained_glass","minecraft:white_stained_glass, minecraft:orange_stained_glass, minecraft:magenta_stained_glass, minecraft:light_blue_stained_glass, minecraft:yellow_stained_glass, minecraft:lime_stained_glass, minecraft:pink_stained_glass, minecraft:gray_stained_glass, minecraft:light_gray_stained_glass, minecraft:cyan_stained_glass, minecraft:purple_stained_glass, minecraft:blue_stained_glass, minecraft:brown_stained_glass, minecraft:green_stained_glass, minecraft:red_stained_glass, minecraft:black_stained_glass"
"forge:stained_glass_panes","minecraft:white_stained_glass_pane, minecraft:orange_stained_glass_pane, minecraft:magenta_stained_glass_pane, minecraft:light_blue_stained_glass_pane, minecraft:yellow_stained_glass_pane, minecraft:lime_stained_glass_pane, minecraft:pink_stained_glass_pane, minecraft:gray_stained_glass_pane, minecraft:light_gray_stained_glass_pane, minecraft:cyan_stained_glass_pane, minecraft:purple_stained_glass_pane, minecraft:blue_stained_glass_pane, minecraft:brown_stained_glass_pane, minecraft:green_stained_glass_pane, minecraft:red_stained_glass_pane, minecraft:black_stained_glass_pane"
"forge:stone","create:limestone, create:polished_limestone, create:weathered_limestone, create:polished_weathered_limestone, create:gabbro, create:polished_gabbro, create:dolomite, create:polished_dolomite, create:scoria, create:polished_scoria, create:dark_scoria, create:polished_dark_scoria, minecraft:andesite, minecraft:diorite, minecraft:granite, minecraft:infested_stone, minecraft:stone, minecraft:polished_andesite, minecraft:polished_diorite, minecraft:polished_granite, quark:basalt, quark:brimstone, quark:jasper, quark:limestone, quark:marble, quark:permafrost, quark:slate, quark:polished_basalt, quark:polished_jasper, quark:polished_limestone, quark:polished_marble, quark:polished_slate"
"forge:storage_blocks","create:copper_block, create:zinc_block, create:brass_block, minecraft:coal_block, minecraft:diamond_block, minecraft:emerald_block, minecraft:gold_block, minecraft:iron_block, minecraft:lapis_block, minecraft:quartz_block, minecraft:redstone_block, minecraft:netherite_block, immersiveengineering:storage_copper, immersiveengineering:storage_aluminum, immersiveengineering:storage_lead, immersiveengineering:storage_silver, immersiveengineering:storage_nickel, immersiveengineering:storage_uranium, immersiveengineering:storage_constantan, immersiveengineering:storage_electrum, immersiveengineering:storage_steel, integrateddynamics:crystalized_chorus_block, integrateddynamics:crystalized_menril_block"
"forge:storage_blocks/aluminum","immersiveengineering:storage_aluminum"
"forge:storage_blocks/brass","create:brass_block"
"forge:storage_blocks/charcoal","quark:charcoal_block"
"forge:storage_blocks/clay","minecraft:clay"
"forge:storage_blocks/coal","minecraft:coal_block"
"forge:storage_blocks/coal_coke","immersiveengineering:coke"
"forge:storage_blocks/constantan","immersiveengineering:storage_constantan"
"forge:storage_blocks/copper","create:copper_block, immersiveengineering:storage_copper"
"forge:storage_blocks/diamond","minecraft:diamond_block"
"forge:storage_blocks/electrum","immersiveengineering:storage_electrum"
"forge:storage_blocks/emerald","minecraft:emerald_block"
"forge:storage_blocks/glowstone","minecraft:glowstone"
"forge:storage_blocks/gold","minecraft:gold_block"
"forge:storage_blocks/iron","minecraft:iron_block"
"forge:storage_blocks/lapis","minecraft:lapis_block"
"forge:storage_blocks/lead","immersiveengineering:storage_lead"
"forge:storage_blocks/netherite","minecraft:netherite_block"
"forge:storage_blocks/nickel","immersiveengineering:storage_nickel"
"forge:storage_blocks/quartz","minecraft:quartz_block"
"forge:storage_blocks/redstone","minecraft:redstone_block"
"forge:storage_blocks/silver","immersiveengineering:storage_silver"
"forge:storage_blocks/steel","immersiveengineering:storage_steel"
"forge:storage_blocks/uranium","immersiveengineering:storage_uranium"
"forge:storage_blocks/zinc","create:zinc_block"
"forge:string","minecraft:string"
"forge:tallow","quark:tallow"
"forge:tools","minecraft:wooden_axe, minecraft:stone_axe, minecraft:iron_axe, minecraft:diamond_axe, minecraft:golden_axe, minecraft:netherite_axe, farmersdelight:flint_knife, farmersdelight:iron_knife, farmersdelight:diamond_knife, farmersdelight:golden_knife, farmersdelight:netherite_knife, minecraft:wooden_pickaxe, minecraft:stone_pickaxe, minecraft:iron_pickaxe, minecraft:diamond_pickaxe, minecraft:golden_pickaxe, minecraft:netherite_pickaxe, minecraft:wooden_shovel, minecraft:stone_shovel, minecraft:iron_shovel, minecraft:diamond_shovel, minecraft:golden_shovel, minecraft:netherite_shovel"
"forge:tools/axes","minecraft:wooden_axe, minecraft:stone_axe, minecraft:iron_axe, minecraft:diamond_axe, minecraft:golden_axe, minecraft:netherite_axe"
"forge:tools/knives","farmersdelight:flint_knife, farmersdelight:iron_knife, farmersdelight:diamond_knife, farmersdelight:golden_knife, farmersdelight:netherite_knife"
"forge:tools/pickaxes","minecraft:wooden_pickaxe, minecraft:stone_pickaxe, minecraft:iron_pickaxe, minecraft:diamond_pickaxe, minecraft:golden_pickaxe, minecraft:netherite_pickaxe"
"forge:tools/shovels","minecraft:wooden_shovel, minecraft:stone_shovel, minecraft:iron_shovel, minecraft:diamond_shovel, minecraft:golden_shovel, minecraft:netherite_shovel"
"forge:torches","integrateddynamics:menril_torch, integrateddynamics:menril_torch_stone"
"forge:treated_wood","immersiveengineering:treated_wood_horizontal, immersiveengineering:treated_wood_vertical, immersiveengineering:treated_wood_packaged"
"forge:treated_wood_slab","immersiveengineering:slab_treated_wood_horizontal, immersiveengineering:slab_treated_wood_vertical, immersiveengineering:slab_treated_wood_packaged"
"forge:vegetables","minecraft:beetroot, minecraft:carrot, farmersdelight:onion, minecraft:potato, farmersdelight:tomato"
"forge:vegetables/beetroot","minecraft:beetroot"
"forge:vegetables/carrot","minecraft:carrot"
"forge:vegetables/onion","farmersdelight:onion"
"forge:vegetables/potato","minecraft:potato"
"forge:vegetables/tomato","farmersdelight:tomato"
"forge:wires/aluminum","immersiveengineering:wire_aluminum"
"forge:wires/copper","immersiveengineering:wire_copper"
"forge:wires/electrum","immersiveengineering:wire_electrum"
"forge:wires/steel","immersiveengineering:wire_steel"
"forge:wrench","integrateddynamics:wrench"
"forge:wrenches","transport:rail_breaker"
"immersiveengineering:scaffoldings/aluminum","immersiveengineering:alu_scaffolding_standard, immersiveengineering:alu_scaffolding_grate_top, immersiveengineering:alu_scaffolding_wooden_top"
"immersiveengineering:scaffoldings/steel","immersiveengineering:steel_scaffolding_standard, immersiveengineering:steel_scaffolding_grate_top, immersiveengineering:steel_scaffolding_wooden_top"
"inspirations:books","inspirations:redstone_book, minecraft:book, minecraft:writable_book, minecraft:written_book, minecraft:enchanted_book, minecraft:knowledge_book, inspirations:white_book, inspirations:orange_book, inspirations:magenta_book, inspirations:light_blue_book, inspirations:yellow_book, inspirations:lime_book, inspirations:pink_book, inspirations:gray_book, inspirations:light_gray_book, inspirations:cyan_book, inspirations:purple_book, inspirations:blue_book, inspirations:brown_book, inspirations:green_book, inspirations:red_book, inspirations:black_book"
"inspirations:bookshelves","inspirations:bookshelf, inspirations:ancient_bookshelf, inspirations:rainbow_bookshelf, inspirations:tomes_bookshelf"
"inspirations:carpeted_trapdoors","inspirations:white_carpeted_trapdoor, inspirations:orange_carpeted_trapdoor, inspirations:magenta_carpeted_trapdoor, inspirations:light_blue_carpeted_trapdoor, inspirations:yellow_carpeted_trapdoor, inspirations:lime_carpeted_trapdoor, inspirations:pink_carpeted_trapdoor, inspirations:gray_carpeted_trapdoor, inspirations:light_gray_carpeted_trapdoor, inspirations:cyan_carpeted_trapdoor, inspirations:purple_carpeted_trapdoor, inspirations:blue_carpeted_trapdoor, inspirations:brown_carpeted_trapdoor, inspirations:green_carpeted_trapdoor, inspirations:red_carpeted_trapdoor, inspirations:black_carpeted_trapdoor"
"inspirations:carpets","minecraft:white_carpet, minecraft:orange_carpet, minecraft:magenta_carpet, minecraft:light_blue_carpet, minecraft:yellow_carpet, minecraft:lime_carpet, minecraft:pink_carpet, minecraft:gray_carpet, minecraft:light_gray_carpet, minecraft:cyan_carpet, minecraft:purple_carpet, minecraft:blue_carpet, minecraft:brown_carpet, minecraft:green_carpet, minecraft:red_carpet, minecraft:black_carpet"
"inspirations:cauldron_recipes","minecraft:beetroot_soup, minecraft:bowl, minecraft:glass_bottle, minecraft:lingering_potion, minecraft:mushroom_stew, minecraft:potion, minecraft:rabbit_stew, minecraft:splash_potion, inspirations:splash_bottle, inspirations:lingering_bottle"
"inspirations:enlightened_bushes","inspirations:white_enlightened_bush, inspirations:red_enlightened_bush, inspirations:green_enlightened_bush, inspirations:blue_enlightened_bush"
"inspirations:fluid_containers","minecraft:bucket, minecraft:water_bucket, minecraft:milk_bucket, minecraft:lava_bucket"
"inspirations:milk_containers","minecraft:bowl, minecraft:bucket"
"inspirations:mulch","inspirations:plain_mulch, inspirations:brown_mulch, inspirations:red_mulch, inspirations:black_mulch, inspirations:blue_mulch"
"inspirations:shulker_boxes","minecraft:shulker_box, minecraft:white_shulker_box, minecraft:orange_shulker_box, minecraft:magenta_shulker_box, minecraft:light_blue_shulker_box, minecraft:yellow_shulker_box, minecraft:lime_shulker_box, minecraft:pink_shulker_box, minecraft:gray_shulker_box, minecraft:light_gray_shulker_box, minecraft:cyan_shulker_box, minecraft:purple_shulker_box, minecraft:blue_shulker_box, minecraft:brown_shulker_box, minecraft:green_shulker_box, minecraft:red_shulker_box, minecraft:black_shulker_box"
"inspirations:small_flowers","inspirations:cyan_flower, inspirations:syringa, inspirations:paeonia, inspirations:rose"
"inspirations:terracotta","minecraft:terracotta, minecraft:white_terracotta, minecraft:orange_terracotta, minecraft:magenta_terracotta, minecraft:light_blue_terracotta, minecraft:yellow_terracotta, minecraft:lime_terracotta, minecraft:pink_terracotta, minecraft:gray_terracotta, minecraft:light_gray_terracotta, minecraft:cyan_terracotta, minecraft:purple_terracotta, minecraft:blue_terracotta, minecraft:brown_terracotta, minecraft:green_terracotta, minecraft:red_terracotta, minecraft:black_terracotta"
"inspirations:waypoint_compasses","inspirations:white_waypoint_compass, inspirations:orange_waypoint_compass, inspirations:magenta_waypoint_compass, inspirations:light_blue_waypoint_compass, inspirations:yellow_waypoint_compass, inspirations:lime_waypoint_compass, inspirations:pink_waypoint_compass, inspirations:gray_waypoint_compass, inspirations:light_gray_waypoint_compass, inspirations:cyan_waypoint_compass, inspirations:purple_waypoint_compass, inspirations:blue_waypoint_compass, inspirations:brown_waypoint_compass, inspirations:green_waypoint_compass, inspirations:red_waypoint_compass, inspirations:black_waypoint_compass"
"integrateddynamics:parts","integrateddynamics:part_audio_reader, integrateddynamics:part_audio_writer, integrateddynamics:part_block_reader, integrateddynamics:part_connector_mono_directional, integrateddynamics:part_connector_omni_directional, integrateddynamics:part_display_panel, integrateddynamics:part_dynamic_light_panel, integrateddynamics:part_effect_writer, integrateddynamics:part_entity_reader, integrateddynamics:part_entity_writer, integrateddynamics:part_extradimensional_reader, integrateddynamics:part_fluid_reader, integrateddynamics:part_inventory_reader, integrateddynamics:part_inventory_writer, integrateddynamics:part_machine_reader, integrateddynamics:part_machine_writer, integrateddynamics:part_network_reader, integrateddynamics:part_redstone_reader, integrateddynamics:part_redstone_writer, integrateddynamics:part_static_light_panel, integrateddynamics:part_world_reader"
"minecraft:acacia_logs","minecraft:acacia_log, minecraft:acacia_wood, minecraft:stripped_acacia_log, minecraft:stripped_acacia_wood, decorative_blocks:acacia_beam"
"minecraft:anvil","minecraft:anvil, minecraft:chipped_anvil, minecraft:damaged_anvil"
"minecraft:arrows","minecraft:arrow, minecraft:tipped_arrow, minecraft:spectral_arrow, inspirations:charged_arrow"
"minecraft:banners","minecraft:white_banner, minecraft:orange_banner, minecraft:magenta_banner, minecraft:light_blue_banner, minecraft:yellow_banner, minecraft:lime_banner, minecraft:pink_banner, minecraft:gray_banner, minecraft:light_gray_banner, minecraft:cyan_banner, minecraft:purple_banner, minecraft:blue_banner, minecraft:brown_banner, minecraft:green_banner, minecraft:red_banner, minecraft:black_banner"
"minecraft:beacon_payment_items","minecraft:netherite_ingot, minecraft:emerald, minecraft:diamond, minecraft:gold_ingot, minecraft:iron_ingot"
